env,seed,rank,design,clean_mse_first_post
ogbench:cube-single.occ,2,9,hacssmv6,1.3608150482177734
ogbench:cube-single.occ,2,10,hacssmv6_static,1.3656452894210815
ogbench:cube-single.occ,2,11,ssm,1.4732717275619507
ogbench:cube-single.occ,2,12,hacssmv7_single,1.581360936164856
ogbench:cube-single.occ,2,13,hacssmv7_noaction,1.6207809448242188
ogbench:cube-single.occ,3,1,hacssmv7_norecovery,1.3337395191192627
ogbench:cube-single.occ,3,2,hacssmv7_noshrink,1.3339051008224487
ogbench:cube-single.occ,3,3,hacssmv7_sharedaction,1.333925485610962
ogbench:cube-single.occ,3,4,hacssmv7_actiononly,1.3341352939605713
ogbench:cube-single.occ,3,5,hacssmv7,1.3361475467681885
ogbench:cube-single.occ,3,6,hacssmv7_uniform,1.3370643854141235
ogbench:cube-single.occ,3,7,hacssmv7_noaux,1.3413195610046387
ogbench:cube-single.occ,3,8,hacsmv4_two_noaux,1.34442937374115
ogbench:cube-single.occ,3,9,hacssmv6,1.3446484804153442
ogbench:cube-single.occ,3,10,hacssmv6_static,1.3744906187057495
ogbench:cube-single.occ,3,11,ssm,1.4403916597366333
ogbench:cube-single.occ,3,12,hacssmv7_single,1.5715053081512451
ogbench:cube-single.occ,3,13,hacssmv7_noaction,1.6607033014297485
ogbench:cube-single.occ,4,1,hacssmv7_uniform,1.3338905572891235
ogbench:cube-single.occ,4,2,hacssmv7_norecovery,1.334376335144043
ogbench:cube-single.occ,4,3,hacssmv7_sharedaction,1.3371713161468506
ogbench:cube-single.occ,4,4,hacssmv7_noaux,1.337379813194275
ogbench:cube-single.occ,4,5,hacssmv6_static,1.3395379781723022
ogbench:cube-single.occ,4,6,hacssmv7_actiononly,1.3395395278930664
ogbench:cube-single.occ,4,7,hacssmv7_noshrink,1.3472217321395874
ogbench:cube-single.occ,4,8,hacssmv6,1.3492565155029297
ogbench:cube-single.occ,4,9,hacsmv4_two_noaux,1.3519926071166992
ogbench:cube-single.occ,4,10,hacssmv7,1.3563270568847656
ogbench:cube-single.occ,4,11,ssm,1.4487439393997192
ogbench:cube-single.occ,4,12,hacssmv7_single,1.5413110256195068
ogbench:cube-single.occ,4,13,hacssmv7_noaction,1.6276490688323975
