metric,candidate,reference,env,n_pairs,candidate_mean_mse,reference_mean_mse,mean_paired_relative_reduction,median_paired_relative_reduction,paired_wins,paired_ties,environment_mean_wins
clean_mse_deep_blackout,hacssmv7,hacssmv6_static,dmc:ball_in_cup.catch.occ,5,1.0453264474868775,1.0044779777526855,-0.04116579965287524,-0.03649502748913816,0,0,
clean_mse_deep_blackout,hacssmv7,hacssmv6_static,dmc:finger.spin.occ,5,1.1474830150604247,1.1548792600631714,0.006348014005989316,0.004764194230055996,5,0,
clean_mse_deep_blackout,hacssmv7,hacssmv6_static,dmc:cheetah.run.occ,5,0.6057169795036316,0.5430795073509216,-0.11734830987204665,-0.11791807756331661,1,0,
clean_mse_deep_blackout,hacssmv7,hacssmv6_static,ogbench:cube-single.occ,5,1.37190682888031,1.3811507940292358,0.006353881056686789,0.015324376834274279,3,0,
clean_mse_deep_blackout,hacssmv7,hacssmv6_static,__overall__,25,,,-0.026399606411741883,0.0038526448251787063,14,0,3
clean_mse_first_post,hacssmv7,hacssmv6_static,dmc:reacher.hard.occ,5,0.8258150696754456,0.8503227710723877,0.02871828760819028,0.02878378465495622,5,0,
clean_mse_first_post,hacssmv7,hacssmv6_static,dmc:ball_in_cup.catch.occ,5,0.9343978047370911,0.8935149788856507,-0.04584918182620494,-0.04944558350658506,0,0,
clean_mse_first_post,hacssmv7,hacssmv6_static,dmc:finger.spin.occ,5,1.1452091693878175,1.1956828117370606,0.0421261374344298,0.038129985798301444,5,0,
clean_mse_first_post,hacssmv7,hacssmv6_static,dmc:cheetah.run.occ,5,0.5540997624397278,0.5297807931900025,-0.04715531033365238,-0.0451821701188555,1,0,
clean_mse_first_post,hacssmv7,hacssmv6_static,ogbench:cube-single.occ,5,1.3518219232559203,1.3645100355148316,0.00917411018546433,0.011065321354774458,3,0,
clean_mse_first_post,hacssmv7,hacssmv6_static,__overall__,25,,,-0.0025971913863545816,0.022093056431478374,14,0,3
